freed memory 54@0x268914, size 64 (C:/prg/_git/germz/src/bob_new.c:91)
freed memory 14@0x267e74, size 36 (C:/prg/_git/germz/deps/ace/src/ace/managers/viewport/camera.c:36)
freed memory 16@0x2684a4, size 60 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:271)
freed memory 15@0x267f54, size 20 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:272)
freed memory 11@0x1c614, size 51200 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 10@0x267c3c, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 13@0x28e1c, size 51200 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:353)
freed memory 12@0x267ce4, size 40 (C:/prg/_git/germz/deps/ace/src/ace/utils/bitmap.c:355)
freed memory 9@0x267a4c, size 42 (C:/prg/_git/germz/deps/ace/src/ace/managers/viewport/simplebuffer.c:229)
freed memory 8@0x267b9c, size 88 (C:/prg/_git/germz/deps/ace/src/ace/utils/extview.c:257)
freed memory 60@0x45424, size 68 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:196)
freed memory 6@0x26733c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:198)
freed memory 59@0x453d4, size 68 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:202)
freed memory 7@0x267a1c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:204)
freed memory 5@0x26779c, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:207)
freed memory 4@0x266fdc, size 12 (C:/prg/_git/germz/deps/ace/src/ace/utils/extview.c:69)
freed memory 52@0x27c1c4, size 2796 (C:/prg/_git/germz/src/map.c:178)
freed memory 3@0x231d34, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/game.c:104)
freed memory 2@0x231cbc, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:198)
freed memory 1@0x231b6c, size 8 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:204)
freed memory 0@0x2193ec, size 16 (C:/prg/_git/germz/deps/ace/src/ace/managers/copper.c:207)

=============== MEMORY MANAGER DESTROY ==============
If something is deallocated past here, you're a wuss!
Peak usage: CHIP: 167336, FAST: 4460
